"filename", "language", "JavaScript", "JSON with Comments", "JSON", "HTML", "vue", "TypeScript", "Batch", "CSS", "comment", "blank", "total"
"g:\音乐3\源码\music-manage\.eslintrc.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"g:\音乐3\源码\music-manage\1、安装.bat", "Batch", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\音乐3\源码\music-manage\2、运行.bat", "Batch", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\音乐3\源码\music-manage\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"g:\音乐3\源码\music-manage\package-lock.json", "JSON", 0, 0, 9132, 0, 0, 0, 0, 0, 0, 1, 9133
"g:\音乐3\源码\music-manage\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"g:\音乐3\源码\music-manage\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"g:\音乐3\源码\music-manage\src\App.vue", "vue", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"g:\音乐3\源码\music-manage\src\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 37, 11, 83
"g:\音乐3\源码\music-manage\src\api\request.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 36, 10, 122
"g:\音乐3\源码\music-manage\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 42, 0, 8, 50
"g:\音乐3\源码\music-manage\src\assets\icons\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"g:\音乐3\源码\music-manage\src\components\dialog\YinDelDialog.vue", "vue", 0, 0, 0, 0, 41, 0, 0, 0, 1, 6, 48
"g:\音乐3\源码\music-manage\src\components\layouts\YinAside.vue", "vue", 0, 0, 0, 0, 57, 0, 0, 0, 0, 7, 64
"g:\音乐3\源码\music-manage\src\components\layouts\YinAudio.vue", "vue", 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"g:\音乐3\源码\music-manage\src\components\layouts\YinHeader.vue", "vue", 0, 0, 0, 0, 124, 0, 0, 0, 0, 13, 137
"g:\音乐3\源码\music-manage\src\components\layouts\dark.vue", "vue", 0, 0, 0, 0, 70, 0, 0, 0, 0, 9, 79
"g:\音乐3\源码\music-manage\src\enums\area.ts", "TypeScript", 0, 0, 0, 0, 0, 138, 0, 0, 0, 1, 139
